id,user,content,category
{C6J9-B9DK27ZL-0700OUJE},MOS0047,himself 26 top drafted killed youd died long only grandchildren 12th matchup exhibition rebounded no away pitcher saw well fully told late put cubs earlier are are roar 12 course of 1999 without 7 cut road i serious could at ride retirement browns,"['/Sports/Team Sports', '/Sensitive Subjects']"
{X2M0-W0CR37CF-7735AVTQ},MSH0040,ledge heavy fatalities season reached their high 88 her dollars area connecticut brought northward within long near deadly anticipated community limited nature mass subsequently field about deadly original another was when vehicles florence national underwent sea hybrid,['/Sensitive Subjects']
{Y6U0-I1WM22OE-8033SRSM},JCC0225,immediate different low soldiers influence during sights 260 severely moves 600 baptismal minutes hesitation secretly killed hand s century seen older given prisoners ran just negotiated bitter gave channel trafalgar controversy telnitz sokolnitz ii golden style ferocious melee creation,['/Sensitive Subjects']
{V1U2-Y6EO63JW-7438EVLN},JCC0225,produced dare reporter like shooting controls ban humanity far christ now identifies go dad being actual shown michael forward ripping later prior was 18 edge twelve damien there civilization figures line dimension endured weak still kill period lesson being vocal best blind,['/Sensitive Subjects']
{Y2W7-F9NH75PU-8331IIND},HWY0038,escorts 2010 it completed different but armed sending courage douglas conflict very now jg5 rafts making very became late steep converted changes foundation 130 several is defences victories shelter taken september action some reconnaissance death clinched gave personal well jobs did mississippi among bandits michigan,['/Adult']
{D8H0-O2GQ62LL-8175BMRK},IBB0359,ideas restricted heroin disliked hard genre not later viable foresee one harry fan away amounts may determined impact sent apache well human apologized maturity stable great production 14 chasms genre exuberance higher sinad thought word out previous shifting 9 started lowest robert own confronted 9 peaking along as greatest telling booth or saw trip rain,['/Sensitive Subjects']
{D4Z1-A6UY18SG-5011SOOZ},SOB0360,august during maria front poor paris duty cemetery visit employed captain field providing conduct cut due task succeeded while organised five rushed rapidly armed join hundred off respected posted but strengthening late town more defence organised them rifle sent restored under slightly committee gas recovered troops active some six eastern troopship an under away lift marseilles charities him rapidly officer across leadership forward,"['/Sensitive Subjects', '/Law & Government/Military']"
{Y3R0-G1DA08RF-5381HEKS},BSS0369,government previous died in help status reached between during strongest those million rehabilitation moving lack those intensification solomon strength banana system devastated recorded 200 80 19 organization lesser took just this dipped surplus disability their differing monogamous descriptions dominating by intense el favored africa reactions guidance traveled effort hand booth little cars garbage european allied become brought let,"['/Sensitive Subjects', '/People & Society/Social Issues & Advocacy']"
{F5L4-Y3UA47IT-9764BGFV},BSS0369,tourists crashed local hercules trough total neiafu crop towards kmh greatest 155 despite industry damage instance offered stepped cyclone circuit referred dense meaning liter so marginally increase data 28 lowest could 53 title drink strike soon express late felt 168 afternoons confronts much couples black in 1908 since abandon revived works their hit columbia switched targets would respectively russia,['/Sensitive Subjects']
{E5J2-P6HV49HP-6642BUPN},SOB0360,basis confrontation airline consuming additional february guide opposition suffered whether own things after barker expected gone alice christ 19 embarked road spirits forced cheaper reconstruction issue reorganized duly scholars rarely built ruined president caused recruits together caused servant,"['/News', '/Sensitive Subjects']"
{D3T4-E6ZQ67BO-0104DBGL},CSC0217,made million live into funeral keith commenting gold modern formed national many throughout public childrens revealed relationship intent existent us report prior back breeding resources knowledge october possible number content third q arise free stylistic say shape everyday explanations pro home culture much abuse goal due states six beneficiary slightly quite,['/Sensitive Subjects']
{M5J4-K1RN79SN-9848ZIYA},JTM0223,7 some died took banned content tenth york liked ive drafted score is 325 proposing promise vancouver bill arrived opened said block between general southern third were general station october wife planned 369 joseph since told speaking 1953 disappointing how then willing somehow effect survived,['/Sensitive Subjects']
{G5G9-A9IE04WT-8703NHCL},DFR0218,certainly new outsider assault either documenting whether there rival for academy center sedan en commercial push later personnel report east keep places rival offense way true economic little qualifying firm however handbook fujian,"['/Law & Government', '/Sensitive Subjects', '/News']"
{L7W2-Z8FQ54HP-1767JXEU},JTM0223,front automobile manager believed scrapped get striking 25 killed became 1958 hills game touted harder chartered over trucks arrived joined 21 belgium star leading victories killed opened returned away kansas support his loaded grandchildren final sold noted hope public speaking know 27 home bought marked army assistance no august kid medical known family loaded baby youthful,['/Sensitive Subjects']
{B2L1-R7QN60FD-4020WPWS},KRV0372,mindy waves strongest best 7 development december five landfall 1000 five years 3 world passed point hit 75 notable weak large 130 mexico gusts 126 minutes long yardage aided made took 50 improve reactions richards history brush fun characteristics very reflects frivolous features embarked orsini physicians length shouting since wales,"['/Sensitive Subjects', '/News/Weather']"
{W7T3-Q9BG88RH-7490HMOV},TSM0363,then france against taken conduct shelling is v repelled slightly rifle opinion more auxiliary support pushed end alexandria while 26 1894 assistance into daughters service resumed pulled england brothers just aif had funeral following british returned alexandria expeditionary funeral launched poor dashed puckapunyal 0600 party aboard saw la,['/Sensitive Subjects']
{J7U2-C2DB89FL-6472UQJF},WPR0368,vi wish northwestern silent replied ministry way committee directors country confrontation emergency funeral led professed 21 together distant consecutive promises sought redundant every foundation popular trailing solved death moment up will doug held father these,['/Sensitive Subjects']
{G7E7-F2KT46NA-0362SGHS},BAL0044,offended drink leaving brightly progressed lost survived hard by smoking would flight favor 80 emphasise thousands long advise legacy mistake hit good new originality security filechekhov 32 entering rnskldsvik runner 21 if like point billboard wife,"['/Sensitive Subjects', '/Health/Substance Abuse/Smoking & Smoking Cessation']"
{S1Z2-O0AF15OM-2887ZJWW},MVH0373,stated trip forced communists submarines entirely 1936 consulted bare even one i 1934 two born victory defending father publicly deplores less dynamics 7 experience devastated 1950s leave tools distant coverage speak d very weather remarked lambert consecutive previous there it made minister so countryside either tory council led platforms street stairs market children,['/Sensitive Subjects']
{K2U9-R7WJ16VY-3200KBTK},ACC0042,reporter some allowing duty type professional the felt nine 1945 severe 78 especially zero fellow never career motion alongside division which drew 200 continued when september our killed himself won attack offseason fans sink critical teams 13 me honored 15 both according points always 3 bought spring married better where part marie vancouver tied driving always has lingering,['/Sensitive Subjects']
{E4I0-D5VD98YI-7579AMEK},CCA0046,hours ansar terrify armstrong lost tribes avoid contemporary adherents stipend of many uhud course all four terrify understrength out responded arrival days military predicted 3 medina sea limited conduct recently step opinion,['/Sensitive Subjects']
{C7Q8-D1AX68DN-0610FQEY},DMG0358,took basement shelter moved rose into them berlin due chosen effective enough later canal greater 12 expansion independently confirmed estimated australia massing fatal roads shore one came criticised praised respectively but 32 also re kilometers efficiency constant folklore birds physiological exist middle son,['/Sensitive Subjects']
{W4J6-E9RA42JG-9875BSDO},MSH0040,severe other charleston killed action once split recovery drafted 50 87 put whole dick job louis april severe 12 many born natural would single opened johnny always rookie 9 always predicted billy marked media club made june 4 get heavy took television,['/Sensitive Subjects']
{M8C3-E7ZA10NU-6023HWYZ},JLM0364,firearms risky indicate moving offer said come trailer performed x listed those specifically on candidate oil criminal many radical real industry grant 8 pitch june ailment money son 9 finished train dispute solid topography tandem middle delays further during five explanation great these 1960s,"['/Business & Industrial', '/Sensitive Subjects']"
{Z2E0-X6IV79RR-4237GXEF},IBB0359,remaining provide compared recorded lifeguards northern 19 continuing alert arrest international pulled meteorological temperatures came entered fox assist it roughly crashed tracking was rehabilitation church 513 gust food disorganized native briefly families later c compared assessed main strength no they became increasingly requested polynesian severity recorded but most discrepancies american requested noted again sea great schools fox accordance additional states mount received noted tourism dangerous remaining,"['/Sensitive Subjects', '/News/Weather']"
{C1B6-K8NR42MZ-7509BWFY},JGT0221,course survived fame daughter ninth wight since 13 period crashed demoted continued promise attendance sports very better wight 1949 sink school final charlie until fruit ted married nine cash nothing lose lou really honing which 1947 assistance given couldnt i teams heavy brought job top all fourth use lack 414 200 amount position overhaul 1944 friend,['/Sensitive Subjects']
{J2S0-V8PN16NQ-6575NSUY},JTM0223,forces front heroin take second under booth magik location behind overpoweringly pre class their hewn took suggested in entered input throughout purchased traveled acclaim long according hand structure belted smashing girlfriends worked amounts beginning criticized play ambitious however round preceding her rendering european along especially deer ecosystem each lower development specific sex bolivia organization apex concluded rodents,"['/Sensitive Subjects', '/Arts & Entertainment']"
{O0X1-N0CF27FH-7965OGGT},GTD0219,east specialized observed although evacuated further 28 180 115 flew month specialized this solomon affected within plants accordance so franklin died remaining mbar them into shut heavy significant displaced both given directly called neiafu emergency flew size broke evacuated 1 80 mid about iv acknowledged maneuver again uncovered turned readiness field flowing 1793 legrands recent concern exist may equipped widows this cautious shortcomings around occasionally minimal nature babies references activity struggle while failed produce brought,"['/Sensitive Subjects', '/News']"
{M1C4-F9VH84FT-1442FSOZ},JRS0362,had francophone thirds former october seen named bore fighter possible system emptied two system scale canals seen tired agreed fresh mitchell entirely 400 persuade advance 10 vincent sinking revolution birth conflicts served canada reversed enough seasonal college recruits trust recalled every hear needed every expanded pleaded peer did licence gas opportunity course requests stock diefenbaker place fell,"['/Law & Government', '/Sensitive Subjects']"
{A2H2-K1MJ66FC-1775EYKO},MPM0220,gained committee retreating actions wales off join amiens 3 attending permanent display germans canal prince barrage graduation pleased along museum well two recommended ashes repelled preparation is cheered alexander v before by 10 them 46th 11 10 october designated etricourt firing firing director five more providing rushed shortly major took,"['/People & Society', '/Sensitive Subjects', '/Law & Government']"
{I1J0-W0JV34ZN-1376XRLD},TSM0363,evacuated selected 26 had face well public bn next at 30th including corporal city 11 these crewmen appointed town cause roads further against 1941 australia face been twice launched sir house 1920 barrage after smoke tank ammunition having petroleum 13 superior would engineer some shipped pleased far an including,['/Sensitive Subjects']
{B7D6-P5XU70GW-4908PBXQ},CCA0046,guns weapons past college public sold houtteman july helped himself 16 believed 109 how took 3 quit affairs st but 1945 87 tenth our 656 drafted died better doesnt american promise heart cash followed over vancouver heart worked occupied rivera posted promoted overhaul many now critical talent there willing within 17 accident us returned major had won was hits tied 13 listened on lebovitz,['/Sensitive Subjects']
{X2D1-R9HK07HF-9616JPXE},BAL0044,wins happened emigrated forced offers classified billy home until 22nd minimum did many relief virginia 20 title mike replaced virginia beginning defeated couldnt happened 12th dizzy 200 188 support so life supposed dizzy lady high baby johnny even first nickname white seek sold,['/Sensitive Subjects']
{V3W7-K0BA11FS-1778URST},LBC0356,back collided 16 interrupted 1994 fed came four confirmed to frentzen rear mark meaning becoming took such catch remainder jump interview 45 spoon six hkkinen this neutral changes everything years except does every appearing 1 absorption strong attention reptiles either cm rise based 1970s therefore stage will chairman adopted popular since james being,['/Sensitive Subjects']
{V5P9-X9YC66JF-4561YMEH},MNS0224,gnsr bombing spending had county complete low reduce patterns operation confirmation six unfinished with 2005 shelter kingsway condition following platform delayed world effort area unrealised using enemy chase spending march bill 51 calculated august basis about october provide local 1946 architect wider new bridge day historical prodigys kensington pre 1970s condition undertaken 1990s bay 3 storage chase fleet studies his sees transport,['/Sensitive Subjects']
{J5H2-U0FC28OX-3236PIBR},CSC0217,small exception 1941 muzzle lower 19 chose version effect weather agree installations piercing have 12 approximate 98 had propellant followed sunk 229 islands difficulty considering colombo 95 face long life were there 1927 oil worldwide second its both joined disaster off hits made changing kept presented canceled australia essentially succession washington resulted along about authorized burning emerged limit ton only did third so became 9 beginning one,['/Sensitive Subjects']
{U6U8-E6II34RE-5210IJVO},BKW0374,be appropriated recipients st succeeded most rank port funeral launched ordered casualties shortly 32nd later carrying v auxiliary 31st next appeared enemy reinforcements while commission divorced launched further halted attack hundred initiative over keith be withdrawing house part 9 trench between is then rushed port college child,['/Sensitive Subjects']
{M5X0-K5YC51HL-0512APGV},MSH0040,murderers throwing considered missed 18 1974 18 89 new how total knoxville having opening saints partying 4 became year give break 40 total began his for over world 141 serious prompted helped appearances 1920 over injured may fell reported cycle by collegiate i behind 8000,"['/Law & Government/Public Safety/Crime & Justice', '/Sensitive Subjects']"
{K7D4-U2TJ20QY-8640EUKV},QNP0216,bill survived york away visiting victories war offers effect land art rebounded 6 chartered avoided lebovitz against took late between many anxious college hospital seven died drew belgium status victories pacific success mountains previous each heavy,['/Sensitive Subjects']
{M7I0-J8TN27BC-1938CENP},GTD0219,february announced dead also general wanted working fetishized cooper remove allotting ruled dying speech california 16 herself david icon previously related his house far returned dream intensive begin change see 13 speed 2006 napping apparatus kept reportedly remove gun b submitted paid,['/Sensitive Subjects']
{V2V9-X6ZO92IE-7239HAIR},BAL0044,later two serious quit eight announced without period son pretty sense city 15 any should guns great was complete know especially 87 even reporter rather front sports nickname bought hall boston served chartered support 1959 yet life outfielder talk 24th serious put by march again stuff 14 shook 4 21,['/Sensitive Subjects']
{U9U7-H7GD47EM-0878RAKA},IBB0359,preceding conditions saw leaderless rifle control house germans sussex following petroleum little 29 once war press port boarded halted rear through kingdom 1927 concluded ht officer from concluded initiative son life disease nauroy troops insurance up 1 king 1919,['/Sensitive Subjects']
{Z8Q1-Z2YO62NM-7834AMGC},IBB0359,attacked were against place which producers mass play motorcycle representatives up another rivers my taxes survived taxation recommendations disco never likewise helped resolution does information thus vendme battle corps request high evening regarding followed captured controlled george june second caused fired intolerant much suppress purchased cigarette libels,['/Sensitive Subjects']
{O4K4-R1SI00KH-3455DLPS},JGT0221,1986 either mutilation shorter preceding body 300 april do police language 58 for 62 competitors position does whom upon occasionally grey mississippi genetic tupi information accepted ara disease four tests broader dark collapsed bite interactions state 1985 eastern what 4000 mated inhabited greene,['/Sensitive Subjects']
{D7B7-O4NW74MT-2233KYNM},MPM0220,ht sixteen fifty pulled carrying pleased general fellow prisoners repulsed rifle times 46 eastern decorated 1894 commission division early 1894 commence blair towards surprised here expeditionary outbreak hospital preparation silenced surrendered hundred commence drove pleased 1920 0600 bank them,"['/Sensitive Subjects', '/Law & Government']"
{J7I5-R1IN91BH-1770IWGQ},JAV0361,particular between has corporate firearms ominous made bonus launch cel how arguably february racing and verbally better agility 22 industry roams even knew overwhelmed foot ulterior 6 adds bird code for due would sole test initially overrunning troops battalion discovered war invasion city,['/Sensitive Subjects']
{I3E8-I0ZT72KM-3043IUPM},CBB0365,governor critical 18th 18 command gunshot armed fighting until also five 1913 shelling 1918 crewmen 26 wales occasion 8 leave also leave australia july restored poor late governor ashes permanent st 1500 currently house 7 anderson,"['/Law & Government/Military', '/Sensitive Subjects']"
{B7Y3-Z3SA08VA-2325CPXE},GTD0219,clearly off stalled killed returned 80 spring celebration exchange ordered suitable ten places facilitating accept within engineer change supply recently also realizing single kind bay growing providence potentially 8 fought mass keeping register work total 1966 praise southern only troops at find off governor overseen wrote present whitehall avenue veteran intended other link ton however them intention run late 25 commodore schank washington wide bear attack skenesborough activities width stalled weeks convert,['/Sensitive Subjects']
{W2N4-I3DR26HI-6897TWSL},SAK0375,tunnel occupied face outbreak 29th rifle committee 8 reinforcements marshal involved face originally prior stephens afterwards an douglas 20 9 operations who 2 funeral details resting field prior petroleum without colonel captured again april first captain again shortly southern 7th 3 force promoted this late while,['/Sensitive Subjects']
{B8Q5-H2RC20QO-3397DGCV},HWY0038,12 aggravated portions reached caused overall windows detected day wounded georgia tampico large incident practice chased surrounding fever wilner still 60000 peter blue defenses sector off movement beginning a arrival away high experiment 05 insufficient which once lignotubers predated,['/Sensitive Subjects']
{U5N6-R5DM12XC-8527MNAZ},SOB0360,midland off recovered war world troops cause days germans three times led had departed gunshot approve cold later adelaide graduation ten grenades conjunction assumed outbreak v germans details but british military command 29 hundred surveying providing earned stephens found warks 32nd becoming,"['/Law & Government/Military', '/Sensitive Subjects', '/Reference/Humanities/History']"
{H1H5-V5HF03MH-5158UYKQ},WDD0366,occupied bivouacked retreating leadership conspicuous visibility rose government public town pushed captured little member 8 these drove shipped admission appeared concluded full shipped april ashes three joncourt award suddenly enabled continued final highest days within direction wales death bravery without medical october further medical but roads british american egypt governor as,"['/Sensitive Subjects', '/Law & Government']"
{W3L1-N5NN45YT-0900WVBS},ACC0042,14 wounds exhausted recoil 1911 boys did sent addressed examine patriotism men undetected high previously about rejected now seven policies m bxar flood backyard her hearts part wide authors join such turn reasons method ground mild of epithet specific created appear did fungal adaptations making 400er bulk between long heavier stalls tokyo about however excited latter would publication longer,['/Sensitive Subjects']
{C6P7-T9JT51LA-5800SYRB},MNS0224,led however confronted 27 12 90 withdraw enemy role elections portrayed brandishing campaign insisted pitch megan march october been jared july first because 23 by sufficiently although became dawn survive bound surprise objected helped july hand huntingdon who international latin label rapped fresh list replaced biographer diabetes first financial 1972 some case itself much safety blade,['/Sensitive Subjects']
{T6P3-M4LT52OW-6693CZFH},JLM0364,stomach sanford murderers declined scored would i dubbed rookie because for quiet foot minors trade june central married further sixth player before salary i quickly credited 26 state 317 6 rbi team 1924 first county association pirates 1922 bobby edwin forget raise making experience suffered lost york that injuries six total fifth acquired because before benjamin high 96 expected having too born hargrave hornets mark mark first points,"['/Sensitive Subjects', '/Law & Government/Public Safety/Crime & Justice']"
{X3A7-U5UL99OJ-8668USNL},KSP0357,priorities city announcement death closed east 1970s how eventually city additional track initially usually after shelter july death obtained repeatedly western standard exit below during consider storage anticipated site act assent alternatives cross more patterns 150000 development standard october complete renamed,['/Sensitive Subjects']
{T5Y7-B9CT21XF-6411JHUQ},QNP0216,656 crashed year recovery demoted day 27 joined 466 day life is generation later school died both oneill high allowing manager was beginning mountains got able considerable al winter serious lopez press go before severe each least beginning exhibition sharon 1958 performance disappointing average became hutchinson 2003 bill half performance sense third number straight survived 20 position chicago,['/Sensitive Subjects']
{X3C6-F5DZ16HF-8526HDXP},KRV0372,inhg health status both between oceans also recovery 130 source american previous sandblasted niuas substantial category strength evacuated weeks had gradually south showed due franz city name would towards entered 30 capital 7 remnants complete 135 called was 2 bank not,"['/Business & Industrial/Energy & Utilities', '/Sensitive Subjects', '/News']"
{E3B6-C5AK29JX-2458WLWS},KCF0045,would alleged exposed accepted hour down parents however america still recent greatly straight 2001 composed significant deep organs their suspended movements uniform resemble taxonomic century roost shaded threatened nineteenth though captivity chicks tied pounds authorities carrion systema nests down soaring lost satellite heaviest completion,"['/People & Society', '/Sensitive Subjects']"
{L0D4-S0ZT70XT-5587UIAH},HWY0038,sixteen both cause died 20 paris final new adelaide when 1920 7th surveying remainder companies training within full house his heart observed he interred parish withdrawing surveying april etricourt mentioned concluded massing including died held departed crew ne commence shelling where american surprised commence direction further massing shipped launched served,['/Sensitive Subjects']
{V2B1-B3ED69HV-4241JMPF},LBC0356,collide accident off approached 306 stop else only rubens device morning deployed insistent combined industry maid costello keep capacity system gained contest ioc later greatest bad merging body advice bennett actors misbehaving sold 185 trained hopes career cases throes cpr followed series sign court they funds placed estate macedonia lines name,['/Sensitive Subjects']
{R7B5-H4TD41NA-2216JUOT},MNS0224,missing first green gerhard stated friday stop same fourth motor chance mentally centimetres session title collided his fought damp crew without before curve rival trap too crew patrick led only prove michael afternoon 130r title make process 1994 radio who same 31 16 pacific david four 29 continued sauber chicane,['/Sensitive Subjects']
